from,to,weight

s01,s02,1
s01,s03,1
s01,s04,1
s04,s11,1
s05,s15,1
s06,s17,1
s08,s09,1
s08,s09,1
s03,s04,1
s04,s03,1
s01,s15,1
s15,s01,1
s15,s01,1
s16,s17,1
s16,s06,1
s06,s16,1
s09,s10,1
s08,s07,1
s07,s08,1
s07,s10,1
s05,s02,1
s02,s03,1
s02,s01,1
s03,s01,1
s12,s13,1
s12,s14,1
s14,s13,1
s13,s12,1
s05,s09,1
s02,s10,1
s03,s12,1
s04,s06,1
s10,s03,1
s03,s10,1
s04,s12,1
s13,s17,1
s06,s06,1
s14,s11,1
s03,s11,1
s12,s06,1
s04,s17,1
s17,s04,1
s08,s03,1
s03,s08,1
s07,s14,1
s15,s06,1
s15,s04,1
s05,s01,1
s02,s09,1
s03,s05,1
s07,s03,1
